gene_id,entrez_id,gene_symbol,organism_tax_ids,gene_types,cell_count,cell_count_order
Pzp,11287,Pzp,10090,protein-coding,300,2
Aanat,11298,Aanat,10090,protein-coding,300,3
Aatk,11302,Aatk,10090,protein-coding,300,4
Abca1,11303,Abca1,10090,protein-coding,300,5
Abca4,11304,Abca4,10090,protein-coding,300,6
Abca2,11305,Abca2,10090,protein-coding,300,7
Abcb7,11306,Abcb7,10090,protein-coding,300,8
Abcg1,11307,Abcg1,10090,protein-coding,300,9
Abi1,11308,Abi1,10090,protein-coding,300,10
Abl1,11350,Abl1,10090,protein-coding,300,11
Abl2,11352,Abl2,10090,protein-coding,300,12
Scgb1b27,11354,Scgb1b27,10090,protein-coding,300,13
ac,11358,ac,10090,unknown,300,14
Acadl,11363,Acadl,10090,protein-coding,300,15
Acadm,11364,Acadm,10090,protein-coding,300,16
Acadvl,11370,Acadvl,10090,protein-coding,300,17
Acads,11409,Acads,10090,protein-coding,300,18
Slc33a1,11416,Slc33a1,10090,protein-coding,300,19
Asic2,11418,Asic2,10090,protein-coding,300,20
Asic1,11419,Asic1,10090,protein-coding,300,21
Ace,11421,Ace,10090,protein-coding,300,22
Ache,11423,Ache,10090,protein-coding,300,23
Apoc4,11425,Apoc4,10090,protein-coding,300,24
Macf1,11426,Macf1,10090,protein-coding,300,25
Aco1,11428,Aco1,10090,protein-coding,300,26
Aco2,11429,Aco2,10090,protein-coding,300,27
Acox1,11430,Acox1,10090,protein-coding,300,28
Acp1,11431,Acp1,10090,protein-coding,300,29
Acp2,11432,Acp2,10090,protein-coding,300,30
Acp5,11433,Acp5,10090,protein-coding,300,31
Acr,11434,Acr,10090,protein-coding,300,32
Chrna1,11435,Chrna1,10090,protein-coding,300,33
Chrna4,11438,Chrna4,10090,protein-coding,300,34
Chrna6,11440,Chrna6,10090,protein-coding,300,35
Chrna7,11441,Chrna7,10090,protein-coding,300,36
Chrnb1,11443,Chrnb1,10090,protein-coding,300,37
Chrnb2,11444,Chrnb2,10090,protein-coding,300,38
Chrnd,11447,Chrnd,10090,protein-coding,300,39
Chrne,11448,Chrne,10090,protein-coding,300,40
Chrng,11449,Chrng,10090,protein-coding,300,41
Adipoq,11450,Adipoq,10090,protein-coding,300,42
Acrv1,11451,Acrv1,10090,protein-coding,300,43
act,11452,act,10090,unknown,300,44
Acta1,11459,Acta1,10090,protein-coding,300,45
Actb,11461,Actb,10090,protein-coding,300,46
Actc1,11464,Actc1,10090,protein-coding,300,47
Actg1,11465,Actg1,10090,protein-coding,300,48
Actg2,11468,Actg2,10090,protein-coding,300,49
Actl7a,11470,Actl7a,10090,protein-coding,300,50
Actl7b,11471,Actl7b,10090,protein-coding,300,51
Actn2,11472,Actn2,10090,protein-coding,300,52
Actn3,11474,Actn3,10090,protein-coding,300,53
Acta2,11475,Acta2,10090,protein-coding,300,54
Acvr1,11477,Acvr1,10090,protein-coding,300,55
Acvr1b,11479,Acvr1b,10090,protein-coding,300,56
Acvr2a,11480,Acvr2a,10090,protein-coding,300,57
Acvr2b,11481,Acvr2b,10090,protein-coding,300,58
Acvrl1,11482,Acvrl1,10090,protein-coding,300,59
Aspa,11484,Aspa,10090,protein-coding,300,60
Ada,11486,Ada,10090,protein-coding,300,61
Adam10,11487,Adam10,10090,protein-coding,300,62
Adam11,11488,Adam11,10090,protein-coding,300,63
Adam12,11489,Adam12,10090,protein-coding,300,64
Adam15,11490,Adam15,10090,protein-coding,300,65
Adam17,11491,Adam17,10090,protein-coding,300,66
Adam19,11492,Adam19,10090,protein-coding,300,67
Adam2,11495,Adam2,10090,protein-coding,300,68
Adam22,11496,Adam22,10090,protein-coding,300,69
Adam3,11497,Adam3,10090,protein-coding,300,70
Adam4,11498,Adam4,10090,protein-coding,300,71
Adam5,11499,Adam5,10090,protein-coding,300,72
Adam7,11500,Adam7,10090,protein-coding,300,73
Adam8,11501,Adam8,10090,protein-coding,300,74
Adam9,11502,Adam9,10090,protein-coding,300,75
Adamts1,11504,Adamts1,10090,protein-coding,300,76
Adcy6,11512,Adcy6,10090,protein-coding,300,77
Adcy7,11513,Adcy7,10090,protein-coding,300,78
Adcy8,11514,Adcy8,10090,protein-coding,300,79
Adcy9,11515,Adcy9,10090,protein-coding,300,80
Adcyap1,11516,Adcyap1,10090,protein-coding,300,81
Adcyap1r1,11517,Adcyap1r1,10090,protein-coding,300,82
Add1,11518,Add1,10090,protein-coding,300,83
Add2,11519,Add2,10090,protein-coding,300,84
Plin2^11520,11520,Plin2^11520,10090,protein-coding,300,85
Adh1,11522,Adh1,10090,protein-coding,300,86
Adh7,11529,Adh7,10090,protein-coding,300,87
Adh5,11532,Adh5,10090,protein-coding,300,88
Adh5-ps1,11533,Adh5-ps1,10090,pseudo,300,89
Adk,11534,Adk,10090,protein-coding,300,90
Adm,11535,Adm,10090,protein-coding,300,91
Gpr182,11536,Gpr182,10090,protein-coding,300,92
Cfd,11537,Cfd,10090,protein-coding,300,93
Adnp,11538,Adnp,10090,protein-coding,300,94
Adora1,11539,Adora1,10090,protein-coding,300,95
Adora2a,11540,Adora2a,10090,protein-coding,300,96
Adora2b,11541,Adora2b,10090,protein-coding,300,97
Adora3,11542,Adora3,10090,protein-coding,300,98
Adprh,11544,Adprh,10090,protein-coding,300,99
Parp1,11545,Parp1,10090,protein-coding,300,100
Parp2,11546,Parp2,10090,protein-coding,300,101
Adra1b,11548,Adra1b,10090,protein-coding,300,102
Adra1a,11549,Adra1a,10090,protein-coding,300,103
Adra1d,11550,Adra1d,10090,protein-coding,300,104
Adra2a,11551,Adra2a,10090,protein-coding,300,105
Adra2b,11552,Adra2b,10090,protein-coding,300,106
Adra2c,11553,Adra2c,10090,protein-coding,300,107
Adrb1,11554,Adrb1,10090,protein-coding,300,108
Adrb2,11555,Adrb2,10090,protein-coding,300,109
Adrb3,11556,Adrb3,10090,protein-coding,300,110
Adsl,11564,Adsl,10090,protein-coding,300,111
Adssl1,11565,Adssl1,10090,protein-coding,300,112
Adss,11566,Adss,10090,protein-coding,300,113
Avil,11567,Avil,10090,protein-coding,300,114
Aebp1,11568,Aebp1,10090,protein-coding,300,115
Aebp2,11569,Aebp2,10090,protein-coding,300,116
Crisp1,11571,Crisp1,10090,protein-coding,300,117
Crisp3,11572,Crisp3,10090,protein-coding,300,118
Afp,11576,Afp,10090,protein-coding,300,119
ag,11592,ag,10090,unknown,300,120
Aga,11593,Aga,10090,protein-coding,300,121
Acan,11595,Acan,10090,protein-coding,300,122
Ager,11596,Ager,10090,protein-coding,300,123
Angpt1,11600,Angpt1,10090,protein-coding,300,124
Angpt2,11601,Angpt2,10090,protein-coding,300,125
Angpt4,11602,Angpt4,10090,protein-coding,300,126
Agrn,11603,Agrn,10090,protein-coding,300,127
Agrp,11604,Agrp,10090,protein-coding,300,128
Gla,11605,Gla,10090,protein-coding,300,129
Agt,11606,Agt,10090,protein-coding,300,130
Agtr1a,11607,Agtr1a,10090,protein-coding,300,131
Agtr1b,11608,Agtr1b,10090,protein-coding,300,132
Agtr2,11609,Agtr2,10090,protein-coding,300,133
Agtrap,11610,Agtrap,10090,protein-coding,300,134
Agxt,11611,Agxt,10090,protein-coding,300,135
Nr0b1,11614,Nr0b1,10090,protein-coding,300,136
Gm4737,11615,Gm4737,10090,protein-coding,300,137
Ahr,11622,Ahr,10090,protein-coding,300,138
Ahrr,11624,Ahrr,10090,protein-coding,300,139
Ahsg,11625,Ahsg,10090,protein-coding,300,140
Aicda,11628,Aicda,10090,protein-coding,300,141
Aif1,11629,Aif1,10090,protein-coding,300,142
Aim1,11630,Aim1,10090,protein-coding,300,143
Aip,11632,Aip,10090,protein-coding,300,144
Aire,11634,Aire,10090,protein-coding,300,145
Ak1,11636,Ak1,10090,protein-coding,300,146
Ak2,11637,Ak2,10090,protein-coding,300,147
Ak4,11639,Ak4,10090,protein-coding,300,148
Akap1,11640,Akap1,10090,protein-coding,300,149
Akap2,11641,Akap2,10090,protein-coding,300,150
Akap3,11642,Akap3,10090,protein-coding,300,151
Akap4,11643,Akap4,10090,protein-coding,300,152
Alpl,11647,Alpl,10090,protein-coding,300,153
Akp3,11648,Akp3,10090,protein-coding,300,154
Alppl2,11650,Alppl2,10090,protein-coding,300,155
Akt1,11651,Akt1,10090,protein-coding,300,156
Akt2,11652,Akt2,10090,protein-coding,300,157
Alas1,11655,Alas1,10090,protein-coding,300,158
Alas2,11656,Alas2,10090,protein-coding,300,159
Alb,11657,Alb,10090,protein-coding,300,160
Alcam,11658,Alcam,10090,protein-coding,300,161
Abcd1,11666,Abcd1,10090,protein-coding,300,162
Aldh1a1,11668,Aldh1a1,10090,protein-coding,300,163
Aldh2,11669,Aldh2,10090,protein-coding,300,164
Aldh3a1,11670,Aldh3a1,10090,protein-coding,300,165
Aldh3a2,11671,Aldh3a2,10090,protein-coding,300,166
Aldoa,11674,Aldoa,10090,protein-coding,300,167
Aldoc,11676,Aldoc,10090,protein-coding,300,168
Akr1b3,11677,Akr1b3,10090,protein-coding,300,169
Alk,11682,Alk,10090,protein-coding,300,170
Alox12,11684,Alox12,10090,protein-coding,300,171
Alox12e,11685,Alox12e,10090,protein-coding,300,172
Alox12b,11686,Alox12b,10090,protein-coding,300,173
Alox15,11687,Alox15,10090,protein-coding,300,174
Alox8,11688,Alox8,10090,protein-coding,300,175
Alox5,11689,Alox5,10090,protein-coding,300,176
Alox5ap,11690,Alox5ap,10090,protein-coding,300,177
alp,11691,alp,10090,unknown,300,178
Gfer,11692,Gfer,10090,protein-coding,300,179
Alx3,11694,Alx3,10090,protein-coding,300,180
